,Administrative ID
2,2180213
3,2201169
9,2191712
16,2070633
29,2200610
34,2200200
36,2210227
44,2001681
62,2191379
64,2192040
68,2140111
73,2221436
82,2223469
95,2220546
108,2110394
109,2201295
118,2200274
141,2191371
146,2181510
148,2130248
149,2221887
151,2223023
154,2201144
157,2220538
166,2221742
190,2173085
196,2201169
222,2152106
223,2091799
226,2221379
237,2201120
239,2081451
240,2081451
246,2220538
249,2210409
250,2191988
252,2191808
260,2201233
266,2140851
267,2140851
270,2191306
273,2223373
284,2051301
285,2221542
291,2221663
292,2190614
298,2141142
301,2191839
305,2190555
309,2220464
313,2224599
317,2191224
321,2223380
341,2131004
354,2141047
371,2071008
374,2223133
383,2152192
389,2191839
394,2100098
403,2172931
405,2091571
436,2151144
437,2181180
443,2141047
459,2141047
463,2020990
465,2221222
467,2110570
472,2200213
484,2173394
502,2181790
508,2161034
517,2171088
522,2171088
532,2180881
536,2223006
538,2172088
541,2190665
542,2224131
584,2230713
591,2200471
592,2200471
606,2230540
610,2220162
622,2160098
641,2091799
648,2190028
655,2224630
656,2224630
657,2223368
662,2171429
670,2200920
674,2221494
679,2224630
686,2221241
687,2221241
713,2131503
716,2223371
720,2201451
722,2223396
723,2223396
726,2070927
742,2201169
755,2150405
772,2224133
773,2191564
774,2173114
800,2191564
803,2224373
817,2001681
828,2190030
836,2091774
838,2201276
839,2201276
846,2170285
848,2190733
849,2190733
850,2200643
851,2200643
855,2110394
856,2223865
861,2170117
863,2170117
870,2170021
878,2221925
879,2230463
885,2120337
890,2210057
894,2210211
896,2201054
917,2140350
921,2151191
922,2170680
932,2230979
938,2221939
940,2171055
950,2070575
954,2201278
965,2201278
979,2231037
982,2220162
1007,2221222
1019,2082033
1022,2210211
1027,2230466
1042,2224072
1044,2130398
1045,2130398
1062,2191224
1066,2173386
1071,2230752
1081,2224630
1082,2080806
1089,2230763
1095,2100492
1100,2221663
1102,2221663
1105,2201223
1127,2091603
1128,2091603
1131,2223693
1135,2170205
1147,2172684
1159,2224032
1163,2151304
1172,2230793
1174,2230112
1179,2171147
1180,2190554
1189,2172864
1194,2150648
1198,2190159
1204,2200319
1217,2060530
1250,2223358
1253,2140851
1254,2140851
1263,2181578
1278,2071001
1314,2091815
1318,2181510
1320,2231641
1324,2223443
1325,2223443
1327,2223140
1329,2173393
1330,2173393
1338,2110394
1339,2190674
1346,2091815
1347,2081227
1360,2191224
1375,2224072
1377,2200877
1378,2210162
1379,2210162
1381,2191403
1387,2171327
1393,2224613
1395,2060495
1418,2200226
1426,2172639
1428,2210399
1430,2191211
1438,2224855
1439,2224855
1441,2191745
1444,2170997
1459,2224032
1462,2224032
1463,2224032
1513,2190441
1527,2171147
1548,2191372
1571,2230649
1574,2223014
1581,2200196
1605,2201457
1653,2190030
1657,2181462
1677,2223823
1679,2191224
1684,2223777
1685,2223777
1698,2231037
1705,2230512
1727,2150570
1730,2172818
1735,2231641
1739,2070633
1762,2170997
1784,2223823
1796,2151304
1832,2090784
1834,2232161
1838,2100492
1857,2224248
1883,2223764
1889,2060977
1897,2223515
1898,2224072
1899,2224072
1914,2223226
1932,2223714
1938,2201169
1964,2170995
1977,2161045
1986,2221379
1988,2231523
1998,2200066
2022,2223558
2026,2223708
2064,2224590
2076,2231625
2087,2180971
2099,2173411
2108,2201241
2109,2201241
2110,2231073
2139,2170581
2140,2231641
2153,2200023
2155,2223764
2160,2201104
2165,2200023
2170,2190725
2179,2192156
2193,2172594
2238,2172594
2248,2230751
2261,2221821
2293,2231425
2344,2232365
2349,2151304
2367,2232394
2395,2220514
2398,2150740
2402,2141314
2408,2223901
2409,2223901
2414,2223568
2421,2223775
2463,2001681
2490,2231721
2492,2223445
2508,2091774
2541,2200728
2543,2141604
2547,2200066
2563,2220221
2567,960820
2575,2224855
2615,2223133
2616,2220514
2622,2223012
2651,2191511
2652,2191511
2679,2150405
2716,2141211
2758,2141604
2849,2170777
2852,2220928
2854,2201156
2871,2231888
2902,2031134
2903,2140905
2963,2223012
2992,2231017
3067,2082033
3080,2224133
3093,2190328
3186,2152192
3228,2201169
3255,2180989
3264,2200728
3271,2200728
